ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR,ï»¿ANO_BO
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Samsung,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Xiaomi,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Apple,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Samsung,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Xiaomi,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Apple,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Motorola,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Samsung,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Xiaomi,
2022.0,41,41/2022,03/01/2022 07.16,03/01/2022 07.16,03/01/2022,6.45,PELA MANHÃ,03/01/2022,03/01/2022 07.16,Desconhecida,Não,NÂO INFORMADO,RUA VOLUNTÁRIO BENEDITO SÉRGIO,1.0,SANTA CRUZ,TAUBATE,SP,-22.99465548,-45.56752775,Via pública,BO PARA INVESTIGAÇÃO,DEL.SEC.TAUBATE PLANTÃO,02º D.P. TAUBATE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
2022.0,2521641,2521641/2021,30/12/2021 15.36,03/01/2022 08.54,18/12/2021,22.0,A NOITE,30/12/2021,30/12/2021 15.36,Desconhecida,Não,NÂO INFORMADO,RUA PADRE NOBREGA,31.0,JARDIM IMPERIAL,S.JOSE DOS CAMPOS,SP,-23.2771908,-45.89981954,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. S.JOSE DOS CAMPOS,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,XIAOMI,
2022.0,5,mai/22,03/01/2022 09.20,03/01/2022 09.32,18/01/2021,19.0,A NOITE,03/01/2022,03/01/2022 09.20,Desconhecida,Não,NÂO INFORMADO,ESTRADA MUNICIPAL JANUZZI,1.0,CENTRO,CACAPAVA,SP,-23.10287729,-45.70711828,Rodovia/Estrada,BO PARA INVESTIGAÇÃO,DEL.POL.CAÇAPAVA,DEL.POL.CAÇAPAVA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
